
292짬떡찜닭,토핑 추가(납작당면사리 추가),1,5.0
292짬떡찜닭,토핑 추가(공기밥),4,4.75
292짬떡찜닭,토핑 추가(당면사리 추가),2,4.5
292짬떡찜닭,맛 선택 2(순한맛,1,4.0
292짬떡찜닭,짬닭 선택 2(까만짬닭,1,4.0
292짬떡찜닭,짬닭 선택 2(짜장짬닭,1,5.0
292짬떡찜닭,두마리 짬닭,3,4.33
292짬떡찜닭,공기밥),1,5.0
292짬떡찜닭,치즈떡볶이,2,5.0
292짬떡찜닭,세트B 튀김6종세트（군만두2＋오징어1＋김말이2＋고구마1＋못난이어묵2＋통살치킨2）,2,5.0
292짬떡찜닭,야채튀김（2）,1,5.0
292짬떡찜닭,토핑 추가(당면사리 추,1,5.0
292짬떡찜닭,토핑 추가(치즈계란찜),1,5.0
292짬떡찜닭,치즈떡볶이 1人,1,5.0
292짬떡찜닭,통살오징어（2）,3,4.67
292짬떡찜닭,쿨피스 930mL,2,5.0
292짬떡찜닭,맛 선택 1(중,2,4.0
292짬떡찜닭,맛 선택 1(순한맛,1,5.0
292짬떡찜닭,콜라 500mL,1,5.0
292짬떡찜닭,빨간짬닭,9,4.78
292짬떡찜닭,맛 선택 2(순한맛),2,4.5
292짬떡찜닭,쿨피스 180mL 2개,1,4.0
292짬떡찜닭,토핑 추가(셀프주먹김밥),1,5.0
292짬떡찜닭,맛 선택(중),1,5.0
292짬떡찜닭,공기밥,2,4.5
292짬떡찜닭,토핑 추가 2(공기밥),1,4.0
292짬떡찜닭,김말이튀김（4）,1,5.0
292짬떡찜닭,까만짬닭,11,4.82
292짬떡찜닭,셀프주먹김밥,1,5.0
292짬떡찜닭,토핑 추가 1(공기밥,1,4.0
355카페,아메리카노,1,5.0
355카페,알리올리오,3,5.0
355카페,카페라떼,1,5.0
355카페,치아바타샌드위치,1,5.0
355카페,매콤 로제 떡볶이（해물）,1,5.0
355카페,크랩아보카도샌드위치,1,5.0
355카페,추가 선택(샷 추가),1,5.0
355카페,까르보나라,3,5.0
59쌀피자-영통1호점,야채피자 R,1,5.0
59쌀피자-영통1호점,추가선택(치즈크러스트 추가),2,5.0
59쌀피자-영통1호점,오굿박스2（피자 L＋스파게티＋치킨텐더＋수제소시지＋크런치새우튀김）,1,4.0
59쌀피자-영통1호점,통새우피자 R,1,5.0
59쌀피자-영통1호점,1타3피피자（불고기＋콤비네이션＋포테이토）,1,5.0
59쌀피자-영통1호점,윙봉（10조각）,1,5.0
59쌀피자-영통1호점,불고기피자 L,1,2.0
59쌀피자-영통1호점,베이컨포테이토피자 L,2,5.0
59쌀피자-영통1호점,불새피자 L,1,5.0
59쌀피자-영통1호점,치킨텐더（8조각）,1,5.0
59쌀피자-영통1호점,불고기스파게티,1,5.0
59쌀피자-영통1호점,1타3피피자（불고기＋새우＋포테이토）,3,5.0
59쌀피자-영통1호점,추가선택(추가안함),1,5.0
59쌀피자-영통1호점,엣지 추가 선택(치즈크러스트 추가),1,5.0
59쌀피자-영통1호점,핫스파이스피자 L,1,4.0
59쌀피자-영통1호점,새우링（8조각）,1,5.0
59쌀피자-영통1호점,더블바베큐피자 L,1,5.0
59쌀피자-영통1호점,스프라이트 1.25L,1,4.0
59쌀피자-영통1호점,엣지 추가 선택(고구마크러스트 추가),1,4.0
59쌀피자-영통1호점,오굿박스1（피자 L＋스파게티＋치킨텐터＋웨지감자＋스틱감자）,1,4.0
59쌀피자-영통1호점,고구마피자 L,1,4.0
59쌀피자-영통1호점,코카콜라 500mL,1,5.0
59쌀피자-영통1호점,스프라이트 500mL,1,5.0
59쌀피자-영통1호점,59치킨,2,5.0
59쌀피자-영통1호점,불고기피자 R,3,5.0
59쌀피자-영통1호점,코카콜라 1.25L,3,4.67
59쌀피자-영통1호점,콤비네이션피자 L,4,4.5
59쌀피자-영통1호점,콤비네이션피자 R,1,5.0
59쌀피자-영통1호점,추가선택(추가안함,2,5.0
60계-수원영통점,양념소스 추가),1,4.0
60계-수원영통점,생맥주,48,4.52
60계-수원영통점,간지치킨＋6초치킨,2,4.5
60계-수원영통점,고추치킨,49,4.2
60계-수원영통점,간지치킨 순살＋6초치킨 순살,1,5.0
60계-수원영통점,（추천）간지윙봉세트20조각,25,4.88
60계-수원영통점,윙 15조각,61,4.59
60계-수원영통점,간지치킨＋양념치킨,4,4.5
60계-수원영통점,치킨추가메뉴(빠삭치킨（소）,3,4.67
60계-수원영통점,칠리양념치킨,4,3.25
60계-수원영통점,무 추,4,4.5
60계-수원영통점,웨지감자,26,4.77
60계-수원영통점,추가선택(델리소스 추,2,5.0
60계-수원영통점,（추천）장스윙봉세트20조각,5,4.6
60계-수원영통점,인기고추치킨,65,4.26
60계-수원영통점,인기장스치킨,7,4.29
60계-수원영통점,똥집튀김＋닭봉15조각,9,4.33
60계-수원영통점,빠삭치킨 순살（대）,7,4.0
60계-수원영통점,추천6초윙봉세트20조각,1,5.0
60계-수원영통점,치킨추가메뉴(맛있는닭봉x15 후라이드),1,4.0
60계-수원영통점,양념소스 추가,1,5.0
60계-수원영통점,맛 선택(장스치킨),1,4.0
60계-수원영통점,빠삭이（소）,4,4.5
60계-수원영통점,다리 6조각,53,4.4
60계-수원영통점,000cc,48,4.52
60계-수원영통점,추가선택(무 추,2,4.5
60계-수원영통점,간지치킨,66,4.35
60계-수원영통점,후라이드 순살＋고추치킨 순살,2,2.0
60계-수원영통점,（추천）고추윙봉세트30조각,9,4.89
60계-수원영통점,똥집튀김,53,4.43
60계-수원영통점,후라이드＋양념치킨,19,3.74
60계-수원영통점,（추천）장스윙봉세트30조각,4,5.0
60계-수원영통점,（인기）고추치킨,96,4.6
60계-수원영통점,추천간지윙봉세트20조각,33,4.76
60계-수원영통점,간지치킨 순살＋양념치킨 순살,3,4.33
60계-수원영통점,치킨추가메뉴(빠삭치킨（소）),4,3.75
60계-수원영통점,웨지감자),25,4.08
60계-수원영통점,치밥볼（12개）,2,4.5
60계-수원영통점,후라이드＋장스치킨,2,5.0
60계-수원영통점,신메뉴카레윙,1,5.0
60계-수원영통점,（인기）장스치킨,44,4.68
60계-수원영통점,봉 15조각,47,4.32
60계-수원영통점,추천장스윙봉세트30조각,6,4.83
60계-수원영통점,6초치킨-순살,7,4.29
60계-수원영통점,후라이드＋고추치킨,13,3.92
60계-수원영통점,（추천）간지윙봉세트30조각,14,4.79
60계-수원영통점,인기6초치킨,7,4.29
60계-수원영통점,무 추가),10,4.3
60계-수원영통점,추천장스윙봉세트20조각,3,4.67
60계-수원영통점,고추치킨-순살,59,4.53
60계-수원영통점,후라이드윙봉세트20조각,9,4.11
60계-수원영통점,추천고추윙봉세트20조각,26,4.77
60계-수원영통점,후라이드 순살＋간지치킨 순살,4,4.0
60계-수원영통점,참이슬,11,4.64
60계-수원영통점,델리소스 추가),10,4.7
60계-수원영통점,（추천）양념치킨,46,4.54
60계-수원영통점,양념치킨-순살,20,3.75
60계-수원영통점,간지치킨＋장스치킨,8,4.25
60계-수원영통점,후라이드윙봉세트30조각,6,4.17
60계-수원영통점,고추치킨＋장스치킨,1,4.0
60계-수원영통점,치킨추가메뉴(맛있는닭봉x15 고추소스),1,4.0
60계-수원영통점,더 간지치킨,1,5.0
60계-수원영통점,추천6초윙봉세트30조각,3,4.33
60계-수원영통점,6초치킨,8,4.88
60계-수원영통점,칠리양념치킨-순살,3,3.67
60계-수원영통점,매운양념소스,10,4.1
60계-수원영통점,추가선택(델리소스 추가),1,5.0
60계-수원영통점,추가선택(양념소스 추,7,4.29
60계-수원영통점,더매운고추치킨,16,4.31
60계-수원영통점,추천후라이드,89,4.18
60계-수원영통점,（추천）고추윙봉세트20조각,18,4.44
60계-수원영통점,간지치킨 순살＋고추치킨 순살,2,3.0
60계-수원영통점,델리소스 추,1,1.0
60계-수원영통점,고추치킨＋양념치킨,1,5.0
60계-수원영통점,후라이드,47,4.21
60계-수원영통점,쫀득치즈볼（5개）,17,4.59
60계-수원영통점,팝콘만두,2,4.0
60계-수원영통점,콘치즈볼（5개）,3,4.0
60계-수원영통점,후라이드 순살＋양념치킨 순살,8,4.12
60계-수원영통점,신메뉴더 간지치킨,4,3.5
60계-수원영통점,（신메뉴）카레봉,1,5.0
60계-수원영통점,추가선택(무 추가),14,4.29
60계-수원영통점,간지치킨-순살,131,4.51
60계-수원영통점,（추천）후라이드,196,4.34
60계-수원영통점,빠삭치킨 순살대,3,5.0
60계-수원영통점,6초치킨 순살＋칠리양념치킨 순살,1,5.0
60계-수원영통점,후라이드＋간지치킨,13,3.92
60계-수원영통점,추천양념치킨,14,4.64
60계-수원영통점,마요네즈소스 추,4,3.25
60계-수원영통점,처음처럼,1,5.0
60계-수원영통점,후라이드＋6초치킨,1,4.0
60계-수원영통점,후라이드 순살＋6초치킨 순살,1,5.0
60계-수원영통점,（인기）고추윙봉세트20조각,7,4.43
60계-수원영통점,장스치킨,6,5.0
60계-수원영통점,추가선택(웨지감자),23,4.74
60계-수원영통점,（인기）6초치킨,4,4.25
60계-수원영통점,（추천）6초윙봉세트30조각,2,5.0
60계-수원영통점,추가선택(마요네즈소스 추,4,4.5
60계-수원영통점,무 추가,1,4.0
