,별점,주문메뉴,리뷰,사진
0,4,"['순살파닭세트（순살파닭 2마리＋콜라 1.25L）', '치킨 선택 2(간장)']",맛있었습니다. 잘먹었어요^^,[]
1,2,"['순살파닭세트（순살파닭 2마리＋콜라 1.25L）', '치킨 선택 2(버터갈릭', '음료 추가선택(콜라1.25L 추가)']",콜라가 안왔어요!!두번 연속으로...,[]
2,5,"['순살파닭세트（순살파닭 2마리＋콜라 1.25L）', '치킨 선택 2(양념', '음료 추가선택(사이다 1.25L 로 변경)']",맛잇게 잘먹엇습니다,['https://rev-static.yogiyo.co.kr/1c7f5d9845e8292a4048c745d24cfe6a_tn.jpg']
3,5,"['순살파닭세트（순살파닭 2마리＋콜라 1.25L）', '치킨 선택 2(버터갈릭)']",맛있습니다근데 원래 파 소스 없나요?겨자소스 뿌려먹었쪄염,[]
